Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity
1,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Filtering Landsat 9 imagery to Los Angeles county and a specific time window
2,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying clear pixel mask to the imagery
3,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Applying cloud and cloud shadow mask to the imagery
4,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Converting digital numbers to surface reflectance
5,script_102957.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Creating a median composite image from the filtered and masked imagery
6,script_102957.txt,FAO/GAUL_SIMPLIFIED_500m/2015/level2,ActOn,Filtering Landsat 9 imagery to Los Angeles county and a specific time window
7,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Filtering image collection by date and extent
8,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Applying scale factors to optical and thermal bands
9,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Visualizing images in different bands and combinations
10,script_10376.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Exporting images to Google Drive
11,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,updateMap function for updating maps based on user selection
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,addLayerSelector function for adding layer selection widgets to maps
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,getWeeklySentinelComposite function for compositing Sentinel-1 images
14,script_103827.txt,COPERNICUS/S1_GRD,ActOn,updateMap function for updating maps based on user selection
15,script_103827.txt,COPERNICUS/S1_GRD,ActOn,addLayerSelector function for adding layer selection widgets to maps
16,script_106121.txt,COPERNICUS/S2,ActOn,"Filtering Sentinel-2 image collection by cloud percentage, date, and geometry"
17,script_106121.txt,COPERNICUS/S2,ActOn,Selecting a single band from the filtered image collection
18,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting the image to EPSG:4326
19,script_106121.txt,COPERNICUS/S2,ActOn,Exporting the reprojected image to Google Drive
20,script_106121.txt,COPERNICUS/S2,ActOn,Visualizing the raw and reprojected images on a map
21,script_10828.txt,MODIS/006/MOD09A1,ActOn,getGlobalRoi: generates a global region of interest
22,script_10828.txt,MODIS/006/MOD09A1,ActOn,maskClouds: masks clouds in MODIS images
23,script_10828.txt,MODIS/006/MOD09A1,ActOn,cal_nirv: calculates NIRV values from MODIS images
24,script_10828.txt,MODIS/006/MOD09A1,ActOn,pkg_smooth.linearInterp: performs linear interpolation on NIRV values
25,script_10828.txt,MODIS/006/MOD09A1,ActOn,fill: extracts point information from NIRV images
26,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Filtering Sentinel-1 GRD data by predefined parameters
27,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Calculating flood extent
28,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Calculating flood extent area
29,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Filtering Sentinel-1 GRD data by predefined parameters
30,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Selecting images by predefined dates
31,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Applying reduce radar speckle by smoothing
32,script_110133.txt,JRC/GSW1_0/GlobalSurfaceWater,ActOn,Refining flood result using additional datasets
33,script_110133.txt,WWF/HydroSHEDS/03VFDEM,ActOn,Refining flood result using additional datasets
34,script_110133.txt,JRC/GHSL/P2016/POP_GPW_GLOBE_V1/2015,ActOn,Exposed population density calculation
35,script_110133.txt,JRC/GHSL/P2016/POP_GPW_GLOBE_V1/2015,ActOn,Damage assessment
36,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,applyScaleFactors: scales optical and thermal bands of Landsat imagery
37,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,applyScaleFactors: scales optical and thermal bands of Landsat imagery
38,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_NDVI: calculates Normalized Difference Vegetation Index
39,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_NDVI: calculates Normalized Difference Vegetation Index
40,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_NDWI: calculates Normalized Difference Water Index
41,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_NDWI: calculates Normalized Difference Water Index
42,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_MNDWI: calculates Modified Normalized Difference Water Index
43,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_MNDWI: calculates Modified Normalized Difference Water Index
44,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_NDSI: calculates Normalized Difference Snow Index
45,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_NDSI: calculates Normalized Difference Snow Index
46,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,add_EWI: calculates Enhanced Wetness Index
47,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,add_EWI: calculates Enhanced Wetness Index
48,script_118175.txt,COPERNICUS/S2_SR,ActOn,maskS2Clouds: masks clouds in Sentinel-2 imagery
49,script_118175.txt,COPERNICUS/S2_SR,ActOn,add_ICE: extracts ice cover information from Sentinel-2 imagery
50,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Normalized Burn Ratio (NBR) calculation
51,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Normalized Burn Ratio (NBR) calculation
52,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Difference NBR (dNBR) calculation
53,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Difference NBR (dNBR) calculation
54,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Layer stacking
55,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Layer stacking
56,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Training dataset generation
57,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Training dataset generation
58,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Weka Cascade K-Means clustering
59,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Weka Cascade K-Means clustering
