ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI,Value_GPT3.5,Usage
1,script_102957.txt,Function,Clear pixel mask application,Clear Pixel Masking,0.951850176,Clear Pixel Masking,0.888874412,Image Cloud Masking,4885
2,script_102957.txt,Function,Cloud and cloud shadow mask application,Cloud And Cloud Shadow Masking,0.938030243,Cloud And Cloud Shadow Masking,0.878955245,Cloud And Shade Masking,4885
3,script_102957.txt,Function,Digital number to surface reflectance conversion,Reflectance Value Scaling,0.851548493,Surface Reflectance Correction,0.727452815,Conversion Feature Collection,4885
4,script_102957.txt,Function,Image collection filtering by location and date,Filter Image Collection By Date And Region,0.9642663,Filter Image Collection By Date And Region,0.900034547,Filter Image Collection By Date And Region,4885
5,script_10376.txt,Function,Reflectance conversion operation,Reflectance Value Scaling,0.869660616,Surface Reflectance Correction,0.771815896,Image Mapping,4885
6,script_10376.txt,Function,Visualization generation,Visualization And Output Generation,0.9401896,Visualization And Output Generation,0.837517977,'Visualization And Output Generation',4901
7,script_103827.txt,Function,Create weekly Sentinel-1 composites for flood monitoring,Convert Flood Detection Results To Vector Polygons,0.805034041,Creating Monthly Composite,0.669530153,'Generate Image Composites',4901
8,script_103827.txt,Function,Add layer selection widget for user comparison,Add Land Use Layer,0.842628956,Visualize Data Layers,0.662733674,'Add A Feature Collection',4901
9,script_106121.txt,Function,Filtering Sentinel-2 images by cloud cover and date,Filter Images By Cloud Cover,0.935259998,Filter Images By Cloud Cover,0.775388479,'Filter Image Collection By Cloud Coverage',4901
10,script_106121.txt,Function,Selecting specific bands for reprojection,Select Specific Bands From Images,0.887204885,Select Specific Bands From Images,0.756875992,'Select Specific Bands From Images',4901
11,script_106121.txt,Function,Reprojecting image to EPSG:4326 for export,Image Reprojection,0.849994898,Export Composite Image,0.652361274,Image Reprojection,4906
12,script_10828.txt,Function,"Cloud masking to remove cloud, shadow, and snow effects",Cloud And Shade Masking,0.934117556,Cloud And Snow Masking,0.822067916,Cloud And Shade Masking,4906
13,script_10828.txt,Function,Calculation of NDVI and NIRV values,Computes Normalized Difference Vegetation Index (NDVI),0.87175715,Compute Median Of NDVI,0.805554509,Calculate Spectral Indices And Ratios From Satellite Bands,4906
14,script_10828.txt,Function,Linear interpolation for filling missing values,Interpolate Missing Values,0.948812604,Interpolate Missing Values,0.846874952,Interpolate Missing Values,4906
15,script_10828.txt,Function,Feature collection creation for point information extraction,Feature Importance Extraction,0.872635961,Feature Collection Sampling For Training,0.751428366,Sample Collection,4906
16,script_110133.txt,Function,Selecting Sentinel-1 GRD data based on defined parameters,Select Data,0.834402025,Filtering Precipitation Data,0.587073147,Data Acquisition And Preprocessing,4911
17,script_110133.txt,Function,Calculating flood extent by comparing before and after images,Flood Area Calculation,0.886034608,Flood Area Calculation,0.743469536,Change Detection,4911
18,script_110133.txt,Function,Refining flood result using JRC surface water seasonality data,Calculate Features To Refine Flood Analysis,0.856975734,Calculate Features To Refine Flood Analysis,0.707749605,Quality Assessment,4911
19,script_110133.txt,Function,Masking out areas with more than 5% slope using a Digital Elevation Model,Elevation Masking,0.888075709,Elevation Masking,0.72098738,Spatial Masking,4911
20,script_110133.txt,Function,Calculating exposed population density based on GHSL data,Calculate Urban Green Density,0.856791317,Calculate Urban Green Density,0.642261267,Estimation,4911
21,script_115907.txt,Function,Masking clouds in Landsat 8 images,Image Cloud Masking,0.904496789,Image Cloud Masking,0.79304719,Image Cloud Masking,4912
22,script_115907.txt,Function,Adding NDVI and time bands to Landsat 8 images,Add NDVI Band To Images,0.881468654,Add NDVI Band To Images,0.76627624,Add NDVI Band To Images,4912
23,script_115907.txt,Function,Filtering and processing Landsat 8 data,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.866687298,Data Filtering,0.694952607,Filter And Process Images For Water Detection,4912
24,script_115907.txt,Function,Masking clouds in Sentinel-2 images,Image Cloud Masking,0.920149922,Image Cloud Masking,0.79563731,Cloud And Shade Masking,4912
25,script_115907.txt,Function,Adding NDVI and time bands to Sentinel-2 images,Add NDVI Band To Images,0.918654025,Add NDVI Band To Images,0.770600796,Add NDVI Band To Images,4912
26,script_115907.txt,Function,Filtering and processing Sentinel-2 data,Data Filtering,0.864688039,Data Filtering,0.672100604,Filter And Process Images For Water Detection,4922
27,script_115907.txt,Function,Creating and displaying a temporal signature chart for NDVI in different vegetation areas,Generate Time Series Charts For NDVI,0.878009737,Generate Time Series Charts For NDVI,0.77083838,Generate Time Series Charts For NDVI,4922
28,script_118175.txt,Function,Apply scale factors to Landsat imagery,Apply Scale Factors To Features,0.889811277,Apply Scale Factors To Image,0.811321735,Apply Scale Factors To Image,4922
29,script_118175.txt,Function,Mask clouds in Sentinel-2 imagery,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.874176502,Image Cloud Masking,0.732613027,Image Cloud Masking,4922
30,script_118175.txt,Function,"Calculate NDVI, NDWI, MNDWI, NDSI, EWI indices",Calculate Normalized Difference Water Body Index (NDWBI),0.872861624,Calculates Normalized Difference Water Index (NDWI),0.765654325,Calculate Spectral Indices And Ratios From Satellite Bands,4922
31,script_118175.txt,Function,Identify ICE pixels in Sentinel-2 imagery,Image Segmentation,0.840328753,Filtering Pixels,0.595558465,Identify Water And Flood Surfaces Using Indices,4903
32,script_118175.txt,Function,Quality mosaic and max composite creation,Quality Mosaic Generation,0.878625691,Quality Mosaic Generation,0.734885275,Quality Mosaic Generation,4903
33,script_119133.txt,Function,Calculation of NBR before and after the fire,Compute Difference Between Pre- And Post-Fire NBR,0.928490281,Compute Difference Between Pre- And Post-Fire NBR,0.915513515,Calculate NBR for Pre-Fire Image,4903
34,script_119133.txt,Function,Generation of training dataset,Training Data Creation,0.931626141,Training Data Creation,0.80900538,Training Data Creation,4903
35,script_119133.txt,Function,Training the dataset using wekaCascadeKMeans algorithm,Machine Learning Model Training,0.839112401,Filtering Training Data,0.652156949,Train And Apply Random Forest Classifier,4903
36,script_119133.txt,Function,Statistical analysis and visualization of results,Generate Visualizations And Statistical Charts For Classification Results,0.896641135,Data Visualization,0.813971102,Statistics Calculation,4880
37,script_119133.txt,Function,Application of filters for result visualization,Filter And Visualize,0.926430225,Filter And Visualize,0.814942837,Cluster Analysis,4880
38,script_119133.txt,Function,Reclassification and multiplication of binary and severity classification images,Prepares Images For Classification,0.878236294,Binary Image Creation,0.706395626,Reclassify,4880
39,script_11983.txt,Function,Cloud and shadow masking,Cloud And Shade Masking,0.970713556,Cloud And Cloud Shadow Masking,0.933878124,Cloud And Shadow Masking,4880
40,script_11983.txt,Function,NDVI calculation,Computes Normalized Difference Vegetation Index (NDVI),0.900147438,Compute Median Of NDVI,0.863728523,Image Index Calculation,4880
41,script_11983.txt,Function,Image collection filtering,Filter Image Collection,0.987343848,Filter Image Collection,0.88791275,Filter Image Collection,4888
42,script_11983.txt,Function,Image differencing,Image Differencing,0.986123145,Image Differencing,0.94023478,Image Differencing,4888
43,script_11983.txt,Function,Anomaly calculation,Anomaly Calculation,0.990288794,Anomaly Calculation,0.970436454,Anomaly Calculation,4888
44,script_120271.txt,Function,Calculate NDVI band,Calculate Data For Specific Spectral Bands,0.861503124,Add NDVI Band To Images,0.801994622,Add NDVI Band To Images,4888
45,script_120271.txt,Function,Filter Sentinel-2 images by date and cloud cover,Filter Images By Cloud Cover,0.939125419,Filter Images By Cloud Cover,0.761249542,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,4888
46,script_120271.txt,Function,Generate median composite image,Create Median Composite Of Images,0.954823911,Create Median Composite Of Images,0.940881133,Create Median Composite Of Images,4885
47,script_120271.txt,Function,Clip image to testing area,Clip Images To A Specific Region,0.916523933,Clip Images To A Specific Region,0.795221448,Clip Images To Specific Geographic Boundaries,4885
48,script_120271.txt,Function,Visualize NDVI with color palette,Visualize NDVI Results,0.919931769,Visualize NDVI Results,0.801898599,Visualize NDVI Results,4885
