ID,Script_ID,Entity_Type,Value,Best_Snippet,Best_Name,Best_Provider,Best_Tags,Best_DOI
1,script_102957.txt,Datasource,LANDSAT/LC09/C02/T1_L2,LANDSAT/LC09/C02/T1_L2,"USGS Landsat 9 Level 2, Collection 2, Tier 1",USGS,"cfmask, cloud, fmask, global, l9sr, landsat, lasrc, lc09, lst, reflectance, sr, usgs",nan
2,script_102957.txt,Datasource,FAO/GAUL_SIMPLIFIED_500m/2015/level2,FAO/GAUL_SIMPLIFIED_500m/2015/level2,"FAO GAUL 500m: Global Administrative Unit Layers 2015, Second-Level Administrative Units",FAO UN,"borders, county, districts, fao, gaul, un",nan
3,script_10376.txt,Datasource,LANDSAT/LC08/C02/T1_L2,LANDSAT/LC08/C02/T1_L2,"USGS Landsat 8 Level 2, Collection 2, Tier 1",USGS,"cfmask, cloud, fmask, global, l8sr, landsat, lasrc, lc08, lst, reflectance, sr, usgs",nan
4,script_103827.txt,Datasource,users/hrishippatel/IndiaStates,,users/hrishippatel/,,IndiaStates,
5,script_103827.txt,Datasource,COPERNICUS/S1_GRD,COPERNICUS/S1_GRD,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",European Union/ESA/Copernicus,"copernicus, esa, eu, radar, sar, sentinel",nan
6,script_106121.txt,Datasource,COPERNICUS/S2,COPERNICUS/S2,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",European Union/ESA/Copernicus,"copernicus, esa, eu, msi, radiance, sentinel",nan
7,script_10828.txt,Datasource,MODIS/006/MOD09A1,MODIS/061/MOD09A1,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,NASA LP DAAC at the USGS EROS Center,"8-day, global, modis, nasa, sr, surface-reflectance, terra, usgs",https://doi.org/10.5067/MODIS/MOD09A1.061
8,script_110133.txt,Datasource,users/felixgeooperations/Drin/20210112_Drin_flood,,users/felixgeooperations/Drin/,,20210112_Drin_flood,
9,script_110133.txt,Datasource,COPERNICUS/S1_GRD,COPERNICUS/S1_GRD,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",European Union/ESA/Copernicus,"copernicus, esa, eu, radar, sar, sentinel",nan
10,script_110133.txt,Datasource,JRC/GSW1_0/GlobalSurfaceWater,JRC/GSW1_4/GlobalSurfaceWater,"JRC Global Surface Water Mapping Layers, v1.4",EC JRC / Google,"geophysical, google, jrc, landsat-derived, surface, water",nan
11,script_110133.txt,Datasource,WWF/HydroSHEDS/03VFDEM,WWF/HydroSHEDS/03VFDEM,"WWF HydroSHEDS Void-Filled DEM, 3 Arc-Seconds",WWF,"dem, elevation, geophysical, hydrography, hydrology, hydrosheds, srtm, topography, water, wwf",nan
12,script_110133.txt,Datasource,JRC/GHSL/P2016/POP_GPW_GLOBE_V1/2015,JRC/GHSL/P2016/BUILT_LDSMT_GLOBE_V1,"GHSL: Global Human Settlement Layers, Built-Up Grid 1975-1990-2000-2015 (P2016)",EC JRC,"built, builtup, jrc, landsat-derived",nan
13,script_118175.txt,Datasource,LANDSAT/LC09/C02/T1_L2,LANDSAT/LC09/C02/T1_L2,"USGS Landsat 9 Level 2, Collection 2, Tier 1",USGS,"cfmask, cloud, fmask, global, l9sr, landsat, lasrc, lc09, lst, reflectance, sr, usgs",nan
14,script_118175.txt,Datasource,LANDSAT/LC08/C02/T1_L2,LANDSAT/LC08/C02/T1_L2,"USGS Landsat 8 Level 2, Collection 2, Tier 1",USGS,"cfmask, cloud, fmask, global, l8sr, landsat, lasrc, lc08, lst, reflectance, sr, usgs",nan
15,script_118175.txt,Datasource,COPERNICUS/S2_SR,COPERNICUS/S2_SR,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",European Union/ESA/Copernicus,"copernicus, esa, eu, msi, reflectance, sentinel, sr",nan
16,script_119133.txt,Datasource,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,COPERNICUS/S2_SR_HARMONIZED,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",European Union/ESA/Copernicus,"copernicus, esa, eu, msi, reflectance, sentinel, sr",nan
