ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI,Value_GPT4o,Usage
1,script_102957.txt,Function,Filter images by location,Filter Images By Region,0.949295342,Filter Images By Region,0.86816895,Filter Image Collection By Region,4874
2,script_102957.txt,Function,Filter images by date,Filter Images By Date,0.994331598,Filter Images By Date,0.979544282,Filter Images By Date,4874
3,script_102957.txt,Function,Mask clear pixels,Clear Pixel Masking,0.949528933,Clear Pixel Masking,0.881211519,Clear Pixel Masking,4874
4,script_102957.txt,Function,Mask clouds and shadows,Cloud And Shade Masking,0.938782096,Cloud And Cloud Shadow Masking,0.816295385,Cloud And Shadow Masking,4874
5,script_102957.txt,Function,Convert DN to SR,Data Conversion,0.829274774,Unit Conversion For Daily Averages,0.534983516,Surface Reflectance Correction,4874
6,script_102957.txt,Function,Create median composite,Create Median Composite Of Images,0.918180168,Create Median Composite Of Images,0.883206308,Create Median Composite Of Images,4876
7,script_102957.txt,Function,Add layer to map,Layer Addition To Map,0.966726005,Layer Addition To Map,0.911733389,Layer Addition To Map,4876
8,script_10376.txt,Function,Define spatial extent,Spatial Analysis,0.849385262,Calculates Area,0.549876571,Area Of Interest Selection,4876
9,script_10376.txt,Function,Filter image collection by date,Filter Image Collection By Date,0.995933652,Filter Image Collection By Date,0.978277922,Filter Image Collection By Date,4876
10,script_10376.txt,Function,Filter image collection by bounds,Filter Image Collection By Bounds,0.989911735,Filter Image Collection By Bounds,0.940865099,Filter Image Collection By Bounds,4876
11,script_10376.txt,Function,Display dataset layers,Visualize Data Layers,0.931480885,Visualize Data Layers,0.802393615,Visualize Data Layers,4875
12,script_10376.txt,Function,Select first image from collection,Select Image,0.863658905,Select Image,0.745231509,Select Image,4875
13,script_10376.txt,Function,Center map on extent,Mapping Features,0.814429343,Layer Addition To Map,0.620968819,Map Visualization Of Feature Collection,4875
14,script_10376.txt,Function,Clip image to extent,Clip Images To A Specific Region,0.933079004,Clip Images To A Specific Region,0.82075429,Clip Images To A Specific Region,4875
15,script_10376.txt,Function,Convert bands to reflectance,Calculate Data For Specific Spectral Bands,0.86657548,Generate Reflectance Charts,0.702839136,Reflectance Value Scaling,4875
16,script_10376.txt,Function,Display image layers,Visualize Data Layers,0.876119375,Visualize Data Layers,0.766829133,Visualize Data Layers,4888
17,script_10376.txt,Function,Visualize image in true color,Visualize True Color Images,0.962092161,Visualize True Color Images,0.930950463,Visualize True Color Images,4888
18,script_10376.txt,Function,Visualize image in color infrared,Enhancing Image Visualization,0.862809241,Visualize True Color Images,0.783476293,Visualize Data Using Specific Band Combinations,4888
19,script_10376.txt,Function,Export image to Google Drive,Export Processed Images To Google Drive,0.949123204,Export Processed Images To Google Drive,0.893883884,Export Processed Images To Google Drive,4888
20,script_103827.txt,Function,Filter image collection by date range,Filter Image Collection By Date,0.983071208,Filter Image Collection By Date,0.91971612,Filter Image Collection By Date,4888
21,script_103827.txt,Function,Filter image collection by polarization,Select Specific Polarization From Images,0.928561687,Select Specific Polarization From Images,0.787343025,Filter Image Collection By Region,4885
22,script_103827.txt,Function,Filter image collection by instrument mode,Filter Image Collection,0.920554399,Filter Image Collection,0.74980098,Spatial Analysis,
23,script_103827.txt,Function,Select specific polarization band,Select Specific Polarization From Images,0.879827976,Select Specific Polarization From Images,0.804508448,Filter Image Collection By Region,4885
24,script_103827.txt,Function,Calculate mean of image collection,Calculates Mean Of Image Collection,0.984452903,Calculates Median Of Image Collection,0.914621472,Spatial Analysis,
25,script_103827.txt,Function,Clip image to region,Clip Images To A Specific Region,0.967746675,Clip Images To A Specific Region,0.916698456,Select Specific Polarization From Images,4885
26,script_103827.txt,Function,Visualize image with specific parameters,Visualize Radar Images With Specific Visualization Parameters,0.917995214,Visualize Radar Images With Specific Visualization Parameters,0.854495645,Visualize Radar Images With Specific Visualization Parameters,4888
27,script_103827.txt,Function,Create and configure map,Create A Thematic Map,0.860173523,Filter And Map,0.715810061,Map Visualization Of Feature Collection,4888
28,script_103827.txt,Function,Add layer selection widget to map,Layer Addition To Map,0.884348154,Layer Addition To Map,0.772242725,Layer Addition To Map,4888
29,script_103827.txt,Function,Link maps for synchronized navigation,Link Maps For Synchronized Viewing,0.939786732,Link Maps For Synchronized Viewing,0.853784263,Link Maps For Synchronized Viewing,4888
30,script_106121.txt,Function,Filter images by cloud coverage,Filter Image Collection By Cloud Coverage,0.979700983,Filter Images By Cloud Cover,0.943385005,Filter Image Collection By Cloud Coverage,4888
31,script_106121.txt,Function,Filter images by date range,Filter Images By Date,0.978328824,Filter Images By Date,0.914115071,Filter Image Collection By Date And Boundaries,4876
32,script_106121.txt,Function,Filter images by geographic bounds,Filter Images By Region,0.948134542,Filter Image Collection By Bounds,0.840166569,Filter Image Collection By Bounds,4876
33,script_106121.txt,Function,Select image bands,Select Specific Bands From Images,0.966783106,Select Specific Bands From Images,0.857560515,Select Specific Bands From Images,4876
34,script_106121.txt,Function,Get image projection,Image Reprojection,0.921481848,Projection,0.812859297,Image Reprojection,4876
35,script_106121.txt,Function,Reproject image,Image Reprojection,0.935915351,Image Reprojection,0.870244741,Image Reprojection,4876
36,script_106121.txt,Function,Export image to Google Drive,Export Processed Images To Google Drive,0.949123204,Export Processed Images To Google Drive,0.893883884,Export Processed Images To Google Drive,4880
37,script_106121.txt,Function,Visualize image on map,Display Interactive Map,0.90616107,Visualize Radar Images,0.779622614,Visualize Satellite Images,4880
38,script_10828.txt,Function,Define global region of interest,Area Of Interest Selection,0.814173758,Area Of Interest Selection,0.557279229,Area Of Interest Selection,4880
39,script_10828.txt,Function,Add layer to map,Layer Addition To Map,0.966726005,Layer Addition To Map,0.911733389,Layer Addition To Map,4880
40,script_10828.txt,Function,Mask clouds and shadows,Cloud And Shade Masking,0.938782096,Cloud And Cloud Shadow Masking,0.816295385,Cloud And Shadow Masking,4880
41,script_10828.txt,Function,Calculate NIRv,Calculate Normalized Infrared Vegetation Index (NIRV),0.909187496,Calculate Normalized Infrared Vegetation Index (NIRV),0.814022779,Calculate Normalized Infrared Vegetation Index (NIRV),4880
42,script_10828.txt,Function,Apply linear interpolation,Performs Linear Interpolation,0.951999784,Performs Linear Interpolation,0.846632421,Performs Linear Interpolation,4880
43,script_10828.txt,Function,Visualize data,Data Visualization,0.961102366,Data Visualization,0.901944757,Data Visualization,4880
44,script_10828.txt,Function,Filter image collection by date,Filter Image Collection By Date,0.995933652,Filter Image Collection By Date,0.978277922,Filter Image Collection By Date,4880
45,script_10828.txt,Function,Reduce regions to points,Reduction Of Image Regions,0.851485014,Reduction Of Image Regions,0.742642999,Reduction Of Image Regions,4880
46,script_10828.txt,Function,Export data to Drive,Export Processed Data To Drive,0.952408671,Export Processed Data To Drive,0.917443633,Export Processed Data To Drive,4893
47,script_110133.txt,Function,Filter image collection by parameters,Filter Image Collection,0.956692576,Filter Image Collection By Bounds,0.847581625,Filter Image Collection By Date And Boundaries,4893
48,script_110133.txt,Function,Select images by date,Filter Images By Date,0.949973166,Filter Images By Date,0.884212971,Filter Image Collection By Date,4893
49,script_110133.txt,Function,Create mosaic and clip to area,Clip Images To A Specific Region,0.893624544,Clip Images To A Specific Region,0.728516102,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,4893
50,script_110133.txt,Function,Smooth radar images,Smooth Radar Speckle In Images,0.923792303,Smooth Radar Speckle In Images,0.875435472,Smooth Radar Speckle In Images,4893
51,script_110133.txt,Function,Calculate image difference,Image Differencing,0.915831685,Difference Calculation,0.82218194,Difference Calculation,4869
52,script_110133.txt,Function,Apply threshold to difference image,Image Differencing,0.886396766,Apply Threshold To Identify Water Surface,0.732759953,Threshold Application,4869
53,script_110133.txt,Function,Mask permanent water areas,Mask Areas To Refine Flood Detection,0.900709927,Mask Areas To Refine Flood Detection,0.678058028,Water body Area Calculation,4869
54,script_110133.txt,Function,Eliminate noise from flood extent,Mask Areas To Refine Flood Detection,0.892739296,Apply Threshold To Identify Flood Extent,0.658397079,Noise Reduction,4869
55,script_110133.txt,Function,Mask areas with high slope,Elevation Masking,0.886217356,Elevation Masking,0.724784017,Elevation slope calculation,4869
56,script_110133.txt,Function,Calculate flood extent area,Flood Area Calculation,0.970667005,Flood Area Calculation,0.871914923,Apply Threshold To Identify Flood Extent,4877
57,script_110133.txt,Function,Calculate exposed population,Calculate Area Statistics,0.849736094,Calculate Burned Area,0.645202875,Estimate Population Affected By Flood,4877
58,script_110133.txt,Function,Export images and vectors,Export Processed Images,0.899255931,Export Processed Images,0.768501759,Export Processed Data,4877
59,script_110133.txt,Function,Display results on map,Display Interactive Map,0.900368035,Display Interactive Map,0.758606434,Map Visualization Of Feature Collection,4877
60,script_115907.txt,Function,Load feature collection,Add A Feature Collection,0.902136564,Add A Feature Collection,0.733796537,Import/Load Data,4877
61,script_115907.txt,Function,Define region of interest,Area Of Interest Selection,0.898899794,Area Of Interest Selection,0.634812117,Area Of Interest Selection,4877
62,script_115907.txt,Function,Filter image collection by date,Filter Image Collection By Date,0.995933652,Filter Image Collection By Date,0.978277922,Filter Image Collection By Date,4877
63,script_115907.txt,Function,Filter image collection by bounds,Filter Image Collection By Bounds,0.989911735,Filter Image Collection By Bounds,0.940865099,Filter Image Collection By Bounds,4877
64,script_115907.txt,Function,Mask clouds,Cloud And Snow Masking,0.909181476,Cloud And Snow Masking,0.778049827,Image Cloud Masking,4877
65,script_115907.txt,Function,Add NDVI band,Addition Of NDVI,0.912829876,Add NDVI Band To Images,0.923406303,Add NDVI Band To Images,4877
66,script_115907.txt,Function,Add time band,Addition Of Time Band,0.956734419,Addition Of Time Band,0.821855485,Addition Of Time Band,4884
67,script_115907.txt,Function,Sort images by date,Filter Images By Date,0.937376082,Sort Images By Start Time,0.878022075,Sort Images By Acquisition Time,4884
68,script_115907.txt,Function,Generate NDVI time series chart,Generate Time Series Charts For NDVI,0.981719017,Generate Time Series Charts For NDVI,0.938014627,Generate Time Series Charts For NDVI,4884
69,script_115907.txt,Function,Generate NDVI temporal signature chart,Generate Time Series Charts For NDVI,0.932991028,Generate Time Series Charts For NDVI,0.836109996,Generate Spectral Signature Chart,4884
70,script_118175.txt,Function,Apply scale factors to image bands,Apply Scale Factors To Image,0.914170325,Apply Scale Factors To Image,0.859493971,Apply Scale Factors To Image,4884
71,script_118175.txt,Function,Mask clouds in Sentinel-2 images,Image Cloud Masking,0.916989207,Image Cloud Masking,0.712874353,Image Cloud Masking,4899
72,script_118175.txt,Function,Calculate NDVI,Computes Normalized Difference Vegetation Index (NDVI),0.891927719,Compute Median Of NDVI,0.883117259,Computes Normalized Difference Vegetation Index (NDVI),4899
73,script_118175.txt,Function,Calculate NDWI,Calculates Normalized Difference Water Index (NDWI),0.926571488,Calculates Normalized Difference Water Index (NDWI),0.812267661,Calculates Normalized Difference Water Index (NDWI),4899
74,script_118175.txt,Function,Calculate MNDWI,Calculates Modified Normalized Difference Water Index (MNDWI),0.893673658,Calculates Modified Normalized Difference Water Index (MNDWI),0.82668364,Calculates Modified Normalized Difference Water Index (MNDWI),4899
75,script_118175.txt,Function,Calculate NDSI,Calculate Normalized Difference Water Body Index (NDWBI),0.884572685,Compute Median Of NDVI,0.752075016,Calculate Normalized Difference And Other Indices,4899
76,script_118175.txt,Function,Calculate EWI,Emissivity Calculation,0.871187389,Topographic Wetness Index (TWI) Computation,0.712337852,"Calculate Other Vegetation Indices/index (SAVI, EVI)",4885
77,script_118175.txt,Function,Detect ICE,Detection,0.852465808,Detect Water,0.725167871,Detect Water,4885
78,script_118175.txt,Function,Filter image collection by date,Filter Image Collection By Date,0.995933652,Filter Image Collection By Date,0.978277922,Filter Image Collection By Date,4885
79,script_118175.txt,Function,Filter image collection by bounds,Filter Image Collection By Bounds,0.989911735,Filter Image Collection By Bounds,0.940865099,Filter Image Collection By Bounds,4885
80,script_118175.txt,Function,Filter image collection by cloud cover,Filter Image Collection By Cloud Coverage,0.988862634,Filter Image Collection By Cloud Coverage,0.942816138,Filter Image Collection By Cloud Coverage,4885
81,script_118175.txt,Function,Merge image collections,Merge And Sort Image Collections,0.951754868,Merge And Sort Image Collections,0.881182134,Merge And Sort Image Collections,4881
82,script_118175.txt,Function,Sort image collection by date,Sort Image Collection By Time,0.945706248,Sort Image Collection By Time,0.921873093,Sort Image Collection By Date,4881
83,script_118175.txt,Function,Join image collections by date,Filter Image Collection By Date,0.922033429,Filter Image Collection By Date,0.83113718,Merge And Sort Image Collections,4881
84,script_118175.txt,Function,Clip image to region of interest,Clip Images To A Specific Region,0.957879424,Clip Images To A Specific Region,0.912509024,Clip Images To A Specific Region,4881
85,script_118175.txt,Function,Add layer to map,Layer Addition To Map,0.966726005,Layer Addition To Map,0.911733389,Layer Addition To Map,4881
86,script_119133.txt,Function,Center map on study area,Spatial Analysis,0.828694463,Display Interactive Map,0.629185915,Area Of Interest Selection,4898
87,script_119133.txt,Function,Display pre-fire image,Calculate NBR For Pre-Fire Image,0.858171463,Load and Display Pre- And Post-Fire Satellite Image,0.787676692,Load and Display Pre- And Post-Fire Satellite Image,4898
88,script_119133.txt,Function,Display post-fire image,Calculate NBR for Post-Fire Image,0.880053818,Load and Display Pre- And Post-Fire Satellite Image,0.778092086,Load and Display Pre- And Post-Fire Satellite Image,4898
89,script_119133.txt,Function,Calculate pre-fire NBR,Calculate NBR For Pre-Fire Image,0.929693639,Calculate NBR For Pre-Fire Image,0.936923802,Calculate NBR For Pre-Fire Image,4898
90,script_119133.txt,Function,Calculate post-fire NBR,Calculate NBR for Post-Fire Image,0.94990319,Calculate NBR for Post-Fire Image,0.938476443,Calculate NBR for Post-Fire Image,4898
91,script_119133.txt,Function,Calculate dNBR,Calculate dNBR For Fire Severity,0.881702662,Calculate Difference Normalized Burn Ratio (dNBR),0.809831679,Calculate Difference Normalized Burn Ratio (dNBR),4873
92,script_119133.txt,Function,Stack image bands,Stack Multiple Image Bands,0.980952263,Stack Multiple Image Bands,0.917559862,Stack Multiple Image Bands,4873
93,script_119133.txt,Function,Sample pixels for training,Filtering Pixels,0.876911044,Feature Sampling For Training,0.794060051,Training Data Sampling,4873
94,script_119133.txt,Function,Train cluster model,Cluster Analysis,0.879179001,Train A Clusterer,0.698723733,Train A Clusterer,4873
95,script_119133.txt,Function,Apply cluster model,Cluster Analysis,0.916648626,Segment Image Into Clusters,0.724809527,Cluster Analysis,4873
96,script_119133.txt,Function,Calculate statistics,Statistics Calculation,0.961841881,Statistics Calculation,0.879451215,Calculate And Export Statistics,4873
97,script_119133.txt,Function,Generate histogram,Generate And Display a Histogram,0.969260931,Generating Histograms,0.888910055,Generate And Display a Histogram,4873
98,script_119133.txt,Function,Clip clusters to study area,Cluster Analysis,0.872300982,Clip Images To A Specific Region,0.766044736,Clip Images To A Specific Region,4873
99,script_119133.txt,Function,Apply mode filter,Filter Feature,0.874490559,Filter Feature,0.692609608,Applying Mean Filter To Image,4873
100,script_119133.txt,Function,Reclassify binary mask,Reclassify,0.872974515,Reclassify,0.75057292,Reclassify,4873
101,script_119133.txt,Function,Multiply binary and severity classifications,Severity Classification,0.847376883,Severity Classification,0.769493461,Classify And Evaluate Burned Areas,4879
