ancestor_note,sub_note,similarity
AGRICULTURE,Earth Science,0
AGRICULTURAL AQUATIC SCIENCES,AGRICULTURE,0.591698967
AQUACULTURE,AQUATIC SCIENCES,0.875631794
FISHERIES,AQUATIC SCIENCES,0.875631794
ICE STUPA,GLACIERS,0.808419016
AGRICULTURAL CHEMICALS,AGRICULTURE,0.576108477
FERTILIZERS,AGRICULTURAL CHEMICALS,0.875631794
PESTICIDES,CONTAMINANTS,0.744274356
AGRICULTURAL ENGINEERING,AGRICULTURE,0.576108477
AGRICULTURAL EQUIPMENT,AGRICULTURAL ENGINEERING,0.875631794
FARM STRUCTURES,AGRICULTURAL ENGINEERING,0.875631794
AGRICULTURAL PLANT SCIENCE,AGRICULTURE,0.632970603
CROP/PLANT YIELDS,AGRICULTURAL PLANT SCIENCE,0.809885237
CROPPING SYSTEMS,AGRICULTURAL PLANT SCIENCE,0.809885237
IRRIGATION,HABITAT CONVERSION/FRAGMENTATION,0.80146929
PLANT BREEDING AND GENETICS,AGRICULTURAL PLANT SCIENCE,0.809885237
PLANT DISEASES/DISORDERS/PESTS,AGRICULTURAL PLANT SCIENCE,0.809885237
RECLAMATION/REVEGETATION/RESTORATION,EARTH GASES/LIQUIDS,0.829952463
"WEEDS, NOXIOUS PLANTS OR INVASIVE PLANTS",AGRICULTURAL PLANT SCIENCE,0.809885237
ANIMAL COMMODITIES,AGRICULTURE,0.591698967
DAIRY PRODUCTS,ANIMAL COMMODITIES,0.857113253
LIVESTOCK PRODUCTS,ANIMAL COMMODITIES,0.857113253
POULTRY PRODUCTS,ANIMAL COMMODITIES,0.857113253
ANIMAL SCIENCE,AGRICULTURE,0.653926223
ANIMAL BREEDING AND GENETICS,ANIMAL SCIENCE,0.786853286
ANIMAL DISEASES/DISORDERS/PESTS,ANIMAL SCIENCE,0.786853286
ANIMAL ECOLOGY AND BEHAVIOR,ANIMAL SCIENCE,0.786853286
ANIMAL MANAGEMENT SYSTEMS,ANIMAL SCIENCE,0.786853286
ANIMAL MANURE AND WASTE,ANIMAL SCIENCE,0.786853286
ANIMAL NUTRITION,ANIMAL SCIENCE,0.786853286
ANIMAL PHYSIOLOGY AND BIOCHEMISTRY,ANIMAL SCIENCE,0.786853286
ANIMAL YIELDS,ANIMAL SCIENCE,0.786853286
APICULTURE,ANIMAL SCIENCE,0.786853286
SERICULTURE,ANIMAL SCIENCE,0.786853286
FEED PRODUCTS,AGRICULTURE,0.604385443
FEED COMPOSITION,FEED PRODUCTS,0.842323637
FEED CONTAMINATION AND TOXICOLOGY,FEED PRODUCTS,0.842323637
FEED PROCESSING,FEED PRODUCTS,0.842323637
FEED STORAGE,FEED PRODUCTS,0.842323637
FOOD SCIENCE,AGRICULTURE,0.624578023
FOOD ADDITIVES,FOOD SCIENCE,0.819284626
FOOD CONTAMINATION AND TOXICOLOGY,FOOD SCIENCE,0.819284626
FOOD PACKAGING,FOOD SCIENCE,0.819284626
FOOD PROCESSING,FOOD SCIENCE,0.819284626
FOOD QUALITY,FOOD SCIENCE,0.819284626
FOOD STORAGE,FOOD SCIENCE,0.819284626
FOREST SCIENCE,AGRICULTURE,0.665483758
AFFORESTATION/REFORESTATION,VEGETATION,0.683574084
DEFOLIANTS,FOREST SCIENCE,0.774411078
FOREST CONSERVATION,FOREST SCIENCE,0.774411078
FOREST FIRE SCIENCE,FOREST SCIENCE,0.774411078
FOREST HARVESTING AND ENGINEERING,FOREST SCIENCE,0.774411078
FOREST MANAGEMENT,FOREST SCIENCE,0.774411078
FOREST MENSURATION,FOREST SCIENCE,0.774411078
FOREST PRODUCTS/COMMODITIES,FOREST SCIENCE,0.774411078
FOREST PROTECTION,FOREST SCIENCE,0.774411078
FOREST YIELDS,FOREST SCIENCE,0.774411078
REFORESTATION,LANDSCAPE,0.819284626
SILVICULTURE,FOREST SCIENCE,0.774411078
PLANT COMMODITIES,AGRICULTURE,0.604385443
FIELD CROP PRODUCTS,PLANT COMMODITIES,0.842323637
FRUIT PRODUCTS,PLANT COMMODITIES,0.842323637
HORTICULTURAL PRODUCTS,PLANT COMMODITIES,0.842323637
VEGETABLE PRODUCTS,PLANT COMMODITIES,0.842323637
SOILS,LAND SURFACE,0.673049366
CALCIUM,CONTAMINANTS,0.744274356
CARBON,OCEAN CHEMISTRY,0.690307391
CATION EXCHANGE CAPACITY,SOILS,0.656995694
DENITRIFICATION RATE,SOILS,0.656995694
ELECTRICAL CONDUCTIVITY,SOILS,0.656995694
HEAVY METALS,SOILS,0.656995694
HYDRAULIC CONDUCTIVITY,SOILS,0.656995694
IRON,CONTAMINANTS,0.744274356
MACROFAUNA,SOILS,0.656995694
MAGNESIUM,CONTAMINANTS,0.744274356
MICROFAUNA,SOILS,0.656995694
MICROFLORA,SOILS,0.656995694
MICRONUTRIENTS/TRACE ELEMENTS,SOILS,0.656995694
NITROGEN,NUTRIENTS,0.849391573
ORGANIC MATTER,WATER CHARACTERISTICS,0.758711478
PERMAFROST,SNOW/ICE,0.716832502
PHOSPHORUS,SOILS,0.656995694
POTASSIUM,CONTAMINANTS,0.744274356
SOIL ABSORPTION,SOILS,0.656995694
SOIL BIOGEOCHEMISTRY,SOILS,0.656995694
SOIL BULK DENSITY,SOILS,0.656995694
SOIL CHEMISTRY,SOILS,0.656995694
SOIL CLASSIFICATION,SOILS,0.656995694
SOIL COLOR,SOILS,0.656995694
SOIL COMPACTION,SOILS,0.656995694
SOIL CONSISTENCE,SOILS,0.656995694
SOIL DEPTH,SOILS,0.656995694
SOIL EROSION,SOILS,0.656995694
SOIL FERTILITY,SOILS,0.656995694
SOIL GAS/AIR,SOILS,0.656995694
SOIL HEAT BUDGET,SOILS,0.656995694
SOIL HORIZONS/PROFILE,SOILS,0.656995694
SOIL IMPEDANCE,SOILS,0.656995694
SOIL INFILTRATION,SOILS,0.656995694
SOIL MECHANICS,SOILS,0.656995694
SOIL MOISTURE/WATER CONTENT,SOILS,0.680416338
SOIL PH,SOILS,0.656995694
SOIL PLASTICITY,SOILS,0.656995694
SOIL POROSITY,SOILS,0.656995694
SOIL PRODUCTIVITY,SOILS,0.656995694
SOIL RESPIRATION,SOILS,0.680416338
SOIL ROOTING DEPTH,SOILS,0.656995694
SOIL SALINITY/SOIL SODICITY,SOILS,0.656995694
SOIL STRUCTURE,SOILS,0.656995694
SOIL TEMPERATURE,SOILS,0.656995694
SOIL TEXTURE,SOILS,0.656995694
SOIL WATER HOLDING CAPACITY,SOILS,0.656995694
SULFUR,SOILS,0.656995694
THERMAL CONDUCTIVITY,SOILS,0.656995694
ATMOSPHERE,Earth Science,0
AEROSOLS,ATMOSPHERE,0.551190235
AEROSOL ABSORPTION,AEROSOLS,0.719937793
AEROSOL BACKSCATTER,AEROSOLS,0.719937793
AEROSOL FRACTION,AEROSOL BACKSCATTER,0.934542359
AEROSOL EXTINCTION,AEROSOLS,0.719937793
AEROSOL FORWARD SCATTER,AEROSOLS,0.719937793
AEROSOL OPTICAL DEPTH/THICKNESS,AEROSOLS,0.744358598
ANGSTROM EXPONENT,AEROSOL OPTICAL DEPTH/THICKNESS,0.908396025
UV AEROSOL INDEX,AEROSOL OPTICAL DEPTH/THICKNESS,0.908396025
AEROSOL PARTICLE PROPERTIES,AEROSOLS,0.744358598
AEROSOL CONCENTRATION,AEROSOL PARTICLE PROPERTIES,0.908396025
AEROSOL SIZE DISTRIBUTION,AEROSOL PARTICLE PROPERTIES,0.908396025
AEROSOL RADIANCE,AEROSOLS,0.719937793
AMMONIUM AEROSOLS,AEROSOLS,0.719937793
BLACK CARBON,AEROSOLS,0.719937793
CARBONACEOUS AEROSOLS,AEROSOLS,0.719937793
CHEMICAL COMPOSITION,AEROSOLS,0.762714959
ELEMENTAL CARBON,CHEMICAL COMPOSITION,0.88905287
NON-REFRACTORY AEROSOL ORGANIC MASS,CHEMICAL COMPOSITION,0.88905287
WATER-SOLUBLE AEROSOL ORGANIC MASS,CHEMICAL COMPOSITION,0.88905287
CLOUD CONDENSATION NUCLEI,CLOUD MICROPHYSICS,0.796158911
DEPOSITION,COASTAL PROCESSES,0.758711478
DUST/ASH/SMOKE,AEROSOLS,0.719937793
NITRATE PARTICLES,AEROSOLS,0.719937793
ORGANIC PARTICLES,AEROSOLS,0.719937793
PARTICULATE MATTER,ICE CORE RECORDS,0.763548162
PARTICULATE MATTER (PM 1.0),ENVIRONMENTAL HEALTH FACTORS,0.849391573
PARTICULATE MATTER (PM 10),ENVIRONMENTAL HEALTH FACTORS,0.849391573
PARTICULATE MATTER (PM 2.5),ENVIRONMENTAL HEALTH FACTORS,0.849391573
SEA SALT,TREE RINGS,0.934542359
SULFATE PARTICLES,AEROSOLS,0.719937793
AIR QUALITY,ATMOSPHERE,0.514660243
CARBON MONOXIDE,AIR QUALITY,0.763548162
EMISSIONS,AIR QUALITY,0.763548162
LEAD,CONTAMINANTS,0.744274356
