Script_ID,Value,Counts
script_102957.txt,LAND USE/LAND COVER CLASSIFICATION,5
script_10376.txt,LAND SURFACE,3
script_103827.txt,FLOOD FREQUENCY,3
script_103827.txt,FLOOD LEVELS,4
script_10828.txt,VEGETATION INDEX,7
script_115907.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),3
script_118175.txt,LAND USE/LAND COVER CLASSIFICATION,5
script_118175.txt,VEGETATION INDEX,4
script_119133.txt,FIRE WEATHER INDEX,5
script_11983.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),3
script_11983.txt,VEGETATION INDEX,8
script_120271.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),4
script_120557.txt,LAND USE/LAND COVER CLASSIFICATION,4
script_131942.txt,LAND USE/LAND COVER CLASSIFICATION,4
script_144864.txt,LAND USE/LAND COVER CLASSIFICATION,7
script_146128.txt,LAND USE/LAND COVER CLASSIFICATION,8
script_15043.txt,LAND USE/LAND COVER CLASSIFICATION,9
script_155017.txt,LAND SURFACE TEMPERATURE,9
script_159299.txt,LAND USE/LAND COVER CLASSIFICATION,5
script_165234.txt,COUNTRY BOUNDARIES,4
script_165234.txt,VEGETATION INDEX,3
script_173652.txt,LAND USE/LAND COVER,3
script_173652.txt,LAND USE/LAND COVER CLASSIFICATION,3
script_174376.txt,LAND USE/LAND COVER CLASSIFICATION,3
script_174747.txt,LAND SURFACE TEMPERATURE,9
script_176914.txt,LAND USE/LAND COVER CLASSIFICATION,4
script_179626.txt,LAND SURFACE TEMPERATURE,9
script_186294.txt,LAND USE/LAND COVER CLASSIFICATION,4
script_186294.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),3
script_186319.txt,FOREST MENSURATION,5
script_186320.txt,FOREST MENSURATION,4
script_186321.txt,FOREST MENSURATION,5
script_186323.txt,FOREST MENSURATION,5
script_186325.txt,FOREST MENSURATION,8
script_186326.txt,FOREST MENSURATION,5
script_186329.txt,FOREST MENSURATION,7
script_186329.txt,LAND USE/LAND COVER CLASSIFICATION,3
script_186332.txt,LAND USE/LAND COVER CLASSIFICATION,3
script_186333.txt,LAND USE/LAND COVER CLASSIFICATION,6
script_186334.txt,SOIL CLASSIFICATION,3
script_186338.txt,RADAR BACKSCATTER,3
script_186356.txt,LAND USE/LAND COVER CLASSIFICATION,8
script_186365.txt,BURNED AREA,4
script_186365.txt,LAND USE/LAND COVER CLASSIFICATION,4
script_186365.txt,SNOW COVER,3
script_186365.txt,SPECTRAL IRRADIANCE,6
script_186365.txt,VEGETATION,4
script_186378.txt,LAND USE/LAND COVER CLASSIFICATION,3
script_186418.txt,LAND SURFACE TEMPERATURE,8
script_186449.txt,LAND USE/LAND COVER CLASSIFICATION,8
script_186466.txt,FOREST MENSURATION,5
script_186503.txt,LAND USE/LAND COVER CLASSIFICATION,8
script_186528.txt,LAND USE/LAND COVER CLASSIFICATION,8
script_186540.txt,LAND USE/LAND COVER CLASSIFICATION,4
script_186540.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),3
